Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 15:10:59.926400,32.917,33.823,31.951,31.994,27.323,24.09
2022-04-14 15:11:10.281400,32.912,33.813,31.954,31.965,27.334,24.098
2022-04-14 15:11:20.636400,32.923,33.823,31.936,31.996,27.336,24.095
2022-04-14 15:11:30.991400,32.907,33.842,31.943,31.996,27.347,24.106
2022-04-14 15:11:41.347400,32.902,33.847,31.957,31.994,27.362,24.095
2022-04-14 15:11:53.285400,32.915,33.834,31.983,31.994,27.376,24.095
2022-04-14 15:12:03.640400,32.928,33.842,31.967,32.004,27.394,24.108
2022-04-14 15:12:13.996400,32.907,33.839,31.941,32.015,27.41,24.1
2022-04-14 15:12:24.351400,32.899,33.821,31.959,31.988,27.381,24.093
2022-04-14 15:12:34.708400,32.933,33.819,31.966,31.984,27.362,24.082
2022-04-14 15:12:45.062400,32.938,33.835,31.984,32.015,27.343,24.085
2022-04-14 15:12:55.420400,32.951,33.854,32.003,32.022,27.366,24.106
2022-04-14 15:13:05.778400,33.024,33.883,32.028,32.039,27.375,24.095
2022-04-14 15:13:16.131400,32.98,33.848,32.026,32.03,27.332,24.09
2022-04-14 15:13:26.489400,32.982,33.877,32.023,32.054,27.329,24.091
2022-04-14 15:13:38.476400,32.967,33.857,32.022,32.033,27.331,24.102
2022-04-14 15:13:48.830400,32.964,33.867,32.009,32.041,27.346,24.109
2022-04-14 15:13:59.185400,32.964,33.852,32.014,32.03,27.336,24.128
2022-04-14 15:14:09.541400,32.969,33.849,32.022,32.027,27.331,24.117
2022-04-14 15:14:19.896400,32.975,33.854,32.009,32.033,27.307,24.116
2022-04-14 15:14:30.251400,32.954,33.833,32.016,32.014,27.325,24.125
2022-04-14 15:14:40.606400,32.943,33.833,31.998,32.02,27.302,24.136
2022-04-14 15:14:50.961400,32.946,33.852,32.003,32.038,27.325,24.133
2022-04-14 15:15:01.316400,32.956,33.862,32.014,32.022,27.328,24.145
2022-04-14 15:15:11.672400,32.946,33.862,31.993,32.022,27.328,24.142
2022-04-14 15:15:23.522400,32.959,33.849,31.998,32.006,27.304,24.126
2022-04-14 15:15:33.877400,32.954,33.86,32.001,32.025,27.318,24.137
2022-04-14 15:15:44.232400,32.956,33.873,32.014,32.025,27.315,24.118
2022-04-14 15:15:54.587400,32.938,33.839,31.995,32.012,27.323,24.105
2022-04-14 15:16:04.942400,32.951,33.846,32.003,32.001,27.291,24.087
